Wed Apr 21 00:26:57 2021, lost_connection_geographical
Wed Apr 21 00:26:58 2021, lost_connection_geographical
Wed Apr 21 04:02:13 2021, failed_to_connect_to_the_match
Wed Apr 21 04:48:50 2021, cooldown
Wed Apr 21 13:45:19 2021, invalid_signature_vac_error
Wed Apr 21 13:48:04 2021, invalid_signature_vac_error
Wed Apr 21 13:57:41 2021, invalid_signature_vac_error
Wed Apr 21 14:01:18 2021, invalid_signature_vac_error
Sat Apr 24 10:49:15 2021, steam_is_required_to_join_a_game
Mon Apr 26 17:48:36 2021, lost_connection_geographical
Mon Apr 26 17:51:39 2021, connection_lost
Mon Apr 26 17:51:41 2021, lost_connection_geographical
Mon May  3 15:23:12 2021, invalid_signature_vac_error
Tue May  4 03:40:31 2021, failed_to_join_session
Wed May  5 08:11:22 2021, lost_connection_geographical
Wed May  5 08:11:23 2021, lost_connection_geographical
Wed May  5 13:47:32 2021, failed_to_connect_to_the_match
Wed May  5 13:47:34 2021, failed_to_connect_to_the_match
Wed May  5 13:47:35 2021, failed_to_connect_to_the_match
Wed May  5 13:47:36 2021, failed_to_connect_to_the_match
Wed May  5 13:47:37 2021, failed_to_connect_to_the_match
Wed May  5 13:47:38 2021, lost_connection_geographical
Wed May  5 13:47:40 2021, lost_connection_geographical
Wed May  5 13:47:42 2021, lost_connection_geographical
Wed May  5 13:47:44 2021, lost_connection_geographical
Wed May  5 13:47:46 2021, lost_connection_geographical
Thu May  6 10:06:26 2021, lost_connection_geographical
Thu May  6 10:06:28 2021, lost_connection_geographical
Thu May  6 10:06:29 2021, lost_connection_geographical
Thu May  6 10:06:30 2021, lost_connection_geographical
Thu May  6 10:06:31 2021, lost_connection_geographical
Sat May  8 01:47:10 2021, steam_is_required_to_join_a_game
Sat May  8 05:09:45 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:37 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:38 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:39 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:39 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:40 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:41 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:41 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:42 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:43 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:43 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:44 2021, steam_is_required_to_join_a_game
Wed May 12 04:49:59 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:01 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:04 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:06 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:08 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:23 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:25 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:27 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:30 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:32 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:33 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:34 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:35 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:36 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:37 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:38 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:38 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:39 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:40 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:41 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:42 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:43 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:44 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:45 2021, steam_is_required_to_join_a_game
Wed May 12 04:50:46 2021, steam_is_required_to_join_a_game
